timestamp,no error,error 5%,error 10%,error 15%
"01/21/2019, 16:42:00",0.9721598052,0.4268008306,0.9989546726,0.9994383643
"01/21/2019, 16:44:00",0.9836093663,0.9964437567,0.9589453816,0.994284501
"01/21/2019, 16:46:00",0.9969200022,0.9009772158,0.9815597546,0.9807639986
"01/21/2019, 16:48:00",0.4509136433,0.6688602765,0.4556084497,0.6427373009
"01/21/2019, 16:50:00",0.9923264012,0.9994039782,0.976885627,0.9996845061
"01/21/2019, 16:52:00",0.9832634998,0.996124408,0.9992712121,0.997952629
"01/21/2019, 16:54:00",0.9928404851,0.9784052161,0.9213668395,0.9992122494
"01/21/2019, 16:56:00",0.9887237381,0.9947080422,0.9978628446,0.9909887693
"01/21/2019, 16:58:00",0.9858830139,0.9903949391,0.9823445977,0.9936189526
"01/21/2019, 17:00:00",0.9969539506,0.9237610157,0.9995353681,0.990131644
"01/21/2019, 17:02:00",0.9961738027,0.9923729587,0.993675712,0.9911135434
"01/21/2019, 17:04:00",0.9977181252,0.9989396364,0.9992797886,0.997272183
"01/21/2019, 17:06:00",0.5083454677,0.9972770265,0.4388349117,0.4376942174
"01/21/2019, 17:08:00",0.9964088122,0.9962167959,0.9884030083,0.9667071458
"01/21/2019, 17:10:00",0.9950848013,0.9980329971,0.999390608,0.9983872482
"01/21/2019, 17:12:00",0.995191867,0.9880564289,0.7164159799,0.9098839307
"01/21/2019, 17:14:00",0.9987486259,0.9466147488,0.6302217812,0.4949782666
"01/21/2019, 17:16:00",0.979682741,0.9800802704,0.9971284327,0.996739542
"01/21/2019, 17:18:00",0.9936727295,0.9702656527,0.9961280028,0.998100643
"01/21/2019, 17:20:00",0.7983732583,0.9976920964,0.9979106513,0.9991372626
"01/21/2019, 17:22:00",0.9906442729,0.9969834337,0.9950056329,0.9887337423
"01/21/2019, 17:24:00",0.9963730307,0.9885932283,0.9724752919,0.9649875714
"01/21/2019, 17:26:00",0.9938598281,0.9990340537,0.9860597483,0.9560367008
"01/21/2019, 17:28:00",0.996143076,0.9940726557,0.9998981083,0.9995965138
"01/21/2019, 17:30:00",0.9990425058,0.9963659222,0.997832158,0.9749737321
"01/21/2019, 17:32:00",0.9510884501,0.9642646527,0.9983615679,0.998385815
"01/21/2019, 17:34:00",0.9287396709,0.9949025395,0.9658960371,0.8757278973
"01/21/2019, 17:36:00",0.9973466687,0.9984455469,0.9989730338,0.9607265574
"01/21/2019, 17:38:00",0.9999153157,0.989918994,0.9890666692,0.934171532
"01/21/2019, 17:40:00",0.9829580049,0.9831147721,0.9882998819,0.9936206319
"01/21/2019, 17:42:00",0.9135487604,0.9719081791,0.999148968,0.9005040024
"01/21/2019, 17:44:00",0.997464557,0.9850187576,0.9779002901,0.9995086124
"01/21/2019, 17:46:00",0.9385397845,0.9680807092,0.9988325101,0.9952280735
"01/21/2019, 17:48:00",0.9931715219,0.9065520693,0.9976660108,0.9960487093
"01/21/2019, 17:50:00",0.9793877198,0.9396671946,0.9956124811,0.996215856
