,similarity,timestamp
0,,"01/21/2019, 14:32:00"
1,,"01/21/2019, 14:34:00"
2,,"01/21/2019, 14:36:00"
3,,"01/21/2019, 14:38:00"
4,,"01/21/2019, 14:40:00"
5,,"01/21/2019, 14:42:00"
6,,"01/21/2019, 14:44:00"
7,,"01/21/2019, 14:46:00"
8,,"01/21/2019, 14:48:00"
9,,"01/21/2019, 14:50:00"
10,,"01/21/2019, 14:52:00"
11,,"01/21/2019, 14:54:00"
12,,"01/21/2019, 14:56:00"
13,,"01/21/2019, 14:58:00"
14,,"01/21/2019, 15:00:00"
15,,"01/21/2019, 15:02:00"
16,,"01/21/2019, 15:04:00"
17,,"01/21/2019, 15:06:00"
18,,"01/21/2019, 15:08:00"
19,,"01/21/2019, 15:10:00"
20,,"01/21/2019, 15:12:00"
21,,"01/21/2019, 15:14:00"
22,,"01/21/2019, 15:16:00"
23,,"01/21/2019, 15:18:00"
24,,"01/21/2019, 15:20:00"
25,,"01/21/2019, 15:22:00"
26,,"01/21/2019, 15:24:00"
27,,"01/21/2019, 15:26:00"
28,,"01/21/2019, 15:28:00"
29,,"01/21/2019, 15:30:00"
30,,"01/21/2019, 15:32:00"
31,,"01/21/2019, 15:34:00"
32,,"01/21/2019, 15:36:00"
33,,"01/21/2019, 15:38:00"
34,,"01/21/2019, 15:40:00"
35,,"01/21/2019, 15:42:00"
36,,"01/21/2019, 15:44:00"
37,,"01/21/2019, 15:46:00"
38,,"01/21/2019, 15:48:00"
39,,"01/21/2019, 15:50:00"
40,,"01/21/2019, 15:52:00"
41,,"01/21/2019, 15:54:00"
42,,"01/21/2019, 15:56:00"
43,,"01/21/2019, 15:58:00"
44,,"01/21/2019, 16:00:00"
45,,"01/21/2019, 16:02:00"
46,,"01/21/2019, 16:04:00"
47,,"01/21/2019, 16:06:00"
48,,"01/21/2019, 16:08:00"
49,,"01/21/2019, 16:10:00"
50,,"01/21/2019, 16:12:00"
51,,"01/21/2019, 16:14:00"
52,,"01/21/2019, 16:16:00"
53,,"01/21/2019, 16:18:00"
54,,"01/21/2019, 16:20:00"
55,,"01/21/2019, 16:22:00"
56,,"01/21/2019, 16:24:00"
57,,"01/21/2019, 16:26:00"
58,,"01/21/2019, 16:28:00"
59,,"01/21/2019, 16:30:00"
60,,"01/21/2019, 16:32:00"
61,,"01/21/2019, 16:34:00"
62,,"01/21/2019, 16:36:00"
63,,"01/21/2019, 16:38:00"
64,,"01/21/2019, 16:40:00"
65,,"01/21/2019, 16:42:00"
66,,"01/21/2019, 16:44:00"
67,,"01/21/2019, 16:46:00"
68,,"01/21/2019, 16:48:00"
69,,"01/21/2019, 16:50:00"
70,,"01/21/2019, 16:52:00"
71,,"01/21/2019, 16:54:00"
72,,"01/21/2019, 16:56:00"
73,,"01/21/2019, 16:58:00"
74,,"01/21/2019, 17:00:00"
75,,"01/21/2019, 17:02:00"
76,,"01/21/2019, 17:04:00"
77,,"01/21/2019, 17:06:00"
78,,"01/21/2019, 17:08:00"
79,,"01/21/2019, 17:10:00"
80,,"01/21/2019, 17:12:00"
81,,"01/21/2019, 17:14:00"
