timestamp,no error,5% error,10% error,15% error,15%
"01/21/2019, 16:24:00",0.996225889,0.5208223816,0.5346299355,0.9044462151,0.6385481749
"01/21/2019, 16:26:00",0.9923735121,0.5830512343,0.4535533223,0.9627795161,0.9510291212
"01/21/2019, 16:28:00",0.9352527693,0.4535368942,0.9451873615,0.9730133009,0.9911251384
"01/21/2019, 16:30:00",0.9709841189,0.8936517638,0.1421994913,0.9180209088,0.4090063936
"01/21/2019, 16:32:00",0.9740849938,0.7129371081,0.3804384159,0.9812152386,0.5607462808
"01/21/2019, 16:34:00",0.9469609081,0.9925198753,0.9604992294,0.936573061,0.4995797299
"01/21/2019, 16:36:00",0.9282299767,0.9429272891,0.9419880494,0.9148481795,0.5787357941
"01/21/2019, 16:38:00",0.5494094314,0.9099028826,0.6094658862,0.7044468733,0.3003879222
"01/21/2019, 16:42:00",,,,,
"01/21/2019, 16:44:00",0.4070892931,0.3714289569,0.3057615013,0.4064502374,0.4079968652
"01/21/2019, 16:46:00",0.9557802484,0.759200236,0.5447692351,0.5965650525,0.9875659388
"01/21/2019, 16:48:00",0.9354405461,0.8533493037,0.9780164194,0.9826738598,0.9866050013
"01/21/2019, 16:50:00",0.2712964971,0.7189744333,0.1722511406,0.5567323767,0.2466865949
"01/21/2019, 16:52:00",0.946391367,0.5432286791,0.9980099084,0.549562473,0.3660366835
"01/21/2019, 16:54:00",0.9978895521,0.4587948715,0.9395321286,0.9873391876,0.3455260526
"01/21/2019, 16:56:00",0.9872188755,0.7499880007,0.6881506776,0.8263017791,0.831104956
"01/21/2019, 16:58:00",0.9827081837,0.8861661657,0.9820076159,0.9965139441,0.6733456597
"01/21/2019, 17:00:00",0.9898586111,0.5447281501,0.8842320005,0.09725893814,0.9508084837
"01/21/2019, 17:02:00",0.9808806085,0.5978228251,0.6248239472,0.5932299702,0.5986297233
"01/21/2019, 17:04:00",0.9752709123,0.4418410172,0.9803967283,0.9416512411,0.931671872
"01/21/2019, 17:06:00",0.9975567299,0.8479889203,0.9804679405,0.4137191232,0.3554720943
"01/21/2019, 17:08:00",0.4608007883,0.2896203055,0.9099941452,0.4469017999,0.2846521656
"01/21/2019, 17:10:00",0.9912875025,0.8109458993,0.6674000789,0.6329081545,0.6472522151
"01/21/2019, 17:12:00",0.9913160543,0.8152622602,0.9481782104,0.5266656196,0.9490839982
