timestamp,error 5%,error 10%,error 15%
"01/21/2019, 17:08:00",0.9859286696,0.9865909704,0.9899122346
"01/21/2019, 17:10:00",0.9818988902,0.993524906,0.9931833218
"01/21/2019, 17:12:00",0.9924976355,0.8863206445,0.9987602392
"01/21/2019, 17:14:00",0.9833319282,0.9991141441,0.9631629223
"01/21/2019, 17:16:00",0.9737248954,0.9951400645,0.9981419411
"01/21/2019, 17:18:00",0.9981094311,0.9970666712,0.9996124688
"01/21/2019, 17:20:00",0.9984644419,0.9997992959,0.9986922328
"01/21/2019, 17:22:00",0.9978516342,0.9950959519,0.9824168221
"01/21/2019, 17:24:00",0.9667172381,0.9780582968,0.9860958879
"01/21/2019, 17:26:00",0.9998145969,0.9992894208,0.989983455
"01/21/2019, 17:28:00",0.9989762758,0.9972511818,0.9990046855
"01/21/2019, 17:30:00",0.9981228902,0.9249669095,0.9994139537
"01/21/2019, 17:32:00",0.9990221203,0.9766440982,0.9990147684
"01/21/2019, 17:34:00",0.9995366116,0.7323463293,0.8803405892
"01/21/2019, 17:36:00",0.9979172763,0.9805179037,0.9988810046
"01/21/2019, 17:38:00",0.9956656323,0.9607770555,0.9996821129
"01/21/2019, 17:40:00",0.9944802871,0.7619911978,0.9988142249
"01/21/2019, 17:42:00",0.9995791466,0.9964685789,0.9972830384
"01/21/2019, 17:44:00",0.9986989858,0.9964528844,0.9968251877
"01/21/2019, 17:46:00",0.8736786835,0.7621019987,0.9047540598
"01/21/2019, 17:48:00",0.9271864067,0.9836372122,0.9946683443
"01/21/2019, 17:50:00",0.9768779802,0.9990064411,0.6820716057
"01/21/2019, 17:52:00",0.9978102405,0.9915965459,0.9972337799
"01/21/2019, 17:54:00",0.9986212642,0.9941062189,0.9998010265
"01/21/2019, 17:56:00",0.9998162539,0.991113989,0.9682100982
"01/21/2019, 17:58:00",0.9690970522,0.9854473105,0.9954355346
"01/21/2019, 18:00:00",0.9980679073,0.5071973888,0.5441014275
"01/21/2019, 18:02:00",0.7635546141,0.9667993048,0.9961433058
"01/21/2019, 18:04:00",0.9966145425,0.9922326929,0.9986780959
"01/21/2019, 18:06:00",0.9955250988,0.9939216023,0.9957661839
"01/21/2019, 18:08:00",0.971835067,0.9869159856,0.9868566441
"01/21/2019, 18:10:00",0.9890619886,0.9970595996,0.9666796222
"01/21/2019, 18:12:00",0.9992584733,0.983219577,0.9986489079
"01/21/2019, 18:14:00",0.991921476,0.9964541866,0.9233528444
"01/21/2019, 18:16:00",0.9959736345,0.9997582698,0.9992354239
"01/21/2019, 18:18:00",0.2406576107,0.8848622849,0.934604407
"01/21/2019, 18:20:00",0.9993134152,0.9978655704,0.9393874923
"01/21/2019, 18:22:00",0.9998527691,0.9649443191,0.9655652108
"01/21/2019, 18:24:00",0.9885955575,0.9880013866,0.682485661
"01/21/2019, 18:26:00",0.9926492394,0.9935349714,0.9979130616
"01/21/2019, 18:28:00",0.5068404854,0.9952827334,0.9734032313
"01/21/2019, 18:30:00",0.9990250901,0.9994377995,0.7936679354
"01/21/2019, 18:32:00",0.9963329203,0.9924896507,0.7900615471
"01/21/2019, 18:34:00",0.9982249235,0.9745781455,0.9981551348
"01/21/2019, 18:36:00",0.9995402494,0.9970302551,0.9991893007
"01/21/2019, 18:38:00",0.998094856,0.9717675685,0.9757624821
"01/21/2019, 18:40:00",0.9547579732,0.9978514715,0.995315262
"01/21/2019, 18:42:00",0.9985392765,0.9973645087,0.9985679736
"01/21/2019, 18:44:00",0.9987858132,0.989902535,0.9824607245
"01/21/2019, 18:46:00",0.9675961567,0.9941730447,0.9762445508
"01/21/2019, 18:48:00",0.9997832622,0.9997236391,0.9644154864
"01/21/2019, 18:50:00",0.9917772919,0.967080819,0.9530124533
"01/21/2019, 18:52:00",0.9945308237,0.971430206,0.8485787167
"01/21/2019, 18:54:00",0.9939705218,0.9979299707,0.987128084
"01/21/2019, 18:56:00",0.9949668464,0.986365193,0.982976302
"01/21/2019, 18:58:00",0.9940938298,0.9890897903,0.9996856152
"01/21/2019, 19:00:00",0.9986743412,0.9737665724,0.4081217447
"01/21/2019, 19:02:00",0.9924380671,0.9983680127,0.6405911709
"01/21/2019, 19:04:00",0.9989963938,0.7599547748,0.7485583452
"01/21/2019, 19:06:00",0.9958343943,0.9990061585,0.9923982309
"01/21/2019, 19:08:00",0.8773252477,0.9801044557,0.9882818338
"01/21/2019, 19:10:00",0.9981503871,0.9192904269,0.6715039471
"01/21/2019, 19:12:00",0.995253433,0.9696425662,0.9833384157
"01/21/2019, 19:14:00",0.985013879,0.9570443281,0.5266263285
"01/21/2019, 19:16:00",0.9753399582,0.9826632816,0.9712902841
